NOV¡K;33871;
SVOBODA;25202;
NOVOTN›;24244;
DVOÿ¡K;22232;
»ERN›;17752;
PROCH¡ZKA;15952;
KU»ERA;15116;
VESEL›;12957;
KREJ»Õ;12247;
HOR¡K;12168;
NÃMEC;11125;
MAREK;10825;
POSPÕäIL;10772;
POKORN›;10720;
H¡JEK;10200;
KR¡L;10011;
JELÕNEK;9814;
RŸéI»KA;9592;
BENEä;9437;
FIALA;9212;
SEDL¡»EK;8929;
DOLEéAL;8765;
ZEMAN;8736;
KOL¡ÿ;8364;
NAVR¡TIL;8138;
»ERM¡K;7931;
VANÃK;7599;
URBAN;7595;
BLAéEK;7261;
KÿÕé;7156;
KOV¡ÿ;7019;
KRATOCHVÕL;7007;
VL»EK;6917;
BARTOä;6908;
POL¡K;6869;
KOPECK›;6821;
MUSIL;6797;
äIMEK;6770;
KONE»N›;6655;
MAL›;6588;
HOLUB;6419;
äTÃP¡NEK;6418;
»ECH;6406;
STANÃK;6397;
KADLEC;6375;
DOST¡L;6291;
äçASTN›;6119;
SOUKUP;6105;
MAREä;6012;
MORAVEC;5865;
S›KORA;5849;
TICH›;5834;
VALENTA;5700;
V¡VRA;5623;
MATOUäEK;5594;
ÿÕHA;5579;
BL¡HA;5517;
BUREä;5423;
äEV»ÕK;5400;
HRUäKA;5293;
MAäEK;5278;
DUäEK;5245;
PAVLÕK;5200;
HAVLÕ»EK;5191;
JANDA;5147;
HRUB›;5145;
MACH;5044;
LIäKA;4830;
BERAN;4825;
BEDN¡ÿ;4817;
VÕTEK;4805;
MACH¡»EK;4804;
B¡RTA;4770;
M‹LLER;4757;
VACEK;4754;
TŸMA;4747;
TOMAN;4745;
é¡K;4740;
äMÕD;4698;
KAäPAR;4664;
SEDL¡K;4629;
äVEC;4623;
STEJSKAL;4621;
KO»Õ;4551;
JAROä;4523;
HORV¡TH;4502;
STRNAD;4424;
NÃME»EK;4400;
BÕLEK;4399;
SLAVÕK;4397;
JEéEK;4377;
MATÃJKA;4272;
BER¡NEK;4222;
FIäER;4189;
HOR¡»EK;4188;
TESAÿ;4184;
KRAUS;4112;
BROé;4090;
KUBÕ»EK;4055;
PROKOP;3990;
HAVLÕK;3945;
HAVEL;3944;
PAVLÕ»EK;3942;
KLÕMA;3939;
SUCH›;3903;
RICHTER;3892;
JANE»EK;3879;
KOHOUT;3858;
äULC;3839;
PEäEK;3836;
PETR;3798;
»ÕéEK;3783;
JANOUäEK;3758;
SOU»EK;3753;
äPA»EK;3731;
STRAKA;3720;
JEDLI»KA;3658;
